id,click,hour,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21
31667036,1.5304589014772853e+19,0,14102819,1005,1,16c73019,8025317b,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,1f15c271,6f21a189,1,0,23405,320,50,2682,1,419,100083,212
13077459,1.8501666257061875e+18,0,14102321,1005,0,93eaba74,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,756f2492,84ebbcd4,1,0,17653,300,250,1994,2,39,-1,33
696371,1.2442730902844631e+19,0,14102104,1005,1,22d080df,6eb534a7,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,e05f563d,8b1aa260,1,0,18993,320,50,2161,0,35,-1,157
35687401,1.0573104749118239e+19,0,14102919,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,5c93f2f9,ba839883,1,0,23642,320,50,2709,3,39,-1,23
531690,1.5821712524080374e+19,0,14102103,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,d5a739c9,1f0bc64f,1,0,17264,320,50,1872,3,39,-1,23
24792081,4.1301819588334935e+18,0,14102707,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,7f0978de,496515fa,1,3,21191,320,50,2424,1,161,100193,71
25170666,1.096785218586443e+19,0,14102710,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,d73d7047,496515fa,1,3,21191,320,50,2424,1,161,100190,71
27101170,1.2194662316374446e+19,0,14102800,1005,0,85f751fd,c4e18dd6,50e219e0,e2fcccd2,5c5a694b,0f2161f8,1a4f1750,a72d1716,158e4944,1,0,6560,320,50,571,2,39,-1,32
6037444,1.6828518206350303e+18,0,14102209,1005,0,5bcf81a2,9d54950b,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,5fc10b20,7ac6007f,1,2,21769,320,50,2507,0,35,100176,157
27967104,1.6238334595216253e+19,0,14102806,1005,0,85f751fd,c4e18dd6,50e219e0,a5184c22,b8d325c3,0f2161f8,a99f214a,7a0b7078,bc8913e3,1,0,22807,320,50,2646,2,35,-1,23
27629619,1.7013965890343897e+19,0,14102804,1012,0,d266097b,db11867b,c0dd3be3,ecad2386,7801e8d9,07d7df22,a99f214a,884f6761,8a4875bd,1,0,17212,320,50,1887,3,39,-1,23
2627848,1.2232577776741945e+19,0,14102113,1002,0,52514a05,08facbad,50e219e0,ecad2386,7801e8d9,07d7df22,dbaf59d1,bfa5e700,88790f1f,0,0,4687,320,50,423,2,39,100148,32
28561767,8.606713043046898e+18,0,14102808,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,f454381c,1aa0e912,1,0,21869,320,50,2524,0,35,-1,221
